id,evidence,claim,label,topic_ip,question
12712,"Distinguishing pre-existing and de novo antibody responses to SARS-CoV-2 will be critical for serology, seroprevalence and vaccine studies, as well as for our understanding of susceptibility to and natural course of SARS-CoV-2 infection.","young men with severe COVID-19 had mutations in the gene for a certain cell receptor. This receptor, some researchers suspect, grows scarcer as we age.",Neutral,3,will SARS-CoV2 infected people develop immunity?
4060,"In Europe, there were no correlations for both recovery (r= 0.040) and mortality rate (r= -0.035).",There is no correlation between Vitamin D levels and Covid-19 infection risk,Supports,42,Does Vitamin D impact COVID-19 prevention and treatment?
13204,"The number of these epitopes and the prevalence of the common coronaviruses suggest that a large part of the world population has some degree of specific immunity against SARS-CoV-2 already, even without having been infected by that virus.",A weaker immune system is one reason people with high blood pressure and other health problems are at higher risk for coronavirus.,Neutral,3,will SARS-CoV2 infected people develop immunity?
1296,Results indicated that temperatures had a negative linear relationship with the number of confirmed cases.," long-term exposure to PM2.5 air pollution, produced by sources including wildfires, power plants and vehicles, may make the coronavirus particularly deadly.",Neutral,2,how does the coronavirus respond to changes in the weather
5142,"Some nutrients are actively involved in the proper functioning and strengthening of the human immune system against viral infections including dietary protein, omega-3 fatty acids, vitamin A, vitamin D, vitamin E, vitamin B1, vitamin B6, vitamin B12, vitamin C, iron, zinc, and selenium. Few studies were done on the effect of dietary components on prevention of COVID-19, but supplementation with these nutrients may be effective in improving the health status of patients with viral infections.","Adequate Levels of Vitamin D Reduce Complications, Death Among COVID-19 Patients",Supports,51,Does Vitamin C impact COVID-19 prevention and treatment?
9173,"Likewise, the S protein nucleotide sequence of the SARS-CoV-2 virus isolated in domestic animals and humans is identical, and the replication of the SARS-CoV-2 in cats is efficient.",pets are not able to spread the COVID-19 virus.,Supports,95,Can animals spread COVID-19 to people?
4213,Numerous articles have reported a decrease in reports of domestic violence since quarantine began,COVID-19 pandemic has helped drive gun violence and increase killings ,Supports,43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?"
673,temperature is the most influential parameter that reduces the growth at the rate of 13-17 cases/day with a 1C rise in temperature.,"COVID-19 Cases Drop in Warm Weather, But Not Much",Supports,2,how does the coronavirus respond to changes in the weather
5660,It was seen that the countries with no universal BCG policy had a mean 1272.9 (median 795) cases per million and 80.7 deaths (median 18) per million population.,"BCG: Can a vaccine from 1921 save lives from Covid-19? The vaccine was designed to stop tuberculosis, but there is some evidence it can protect against other infections as well.",Supports,54,can bcg vaccine cure covid-19
9919,"Such transmission could be reduced by surgical mask usage, especially when masks were worn by infected individuals.","surgical masks are effective barriers in preventing people from discharging infectious particles, at least quantity-wise.",Supports,125,Does a surgical mask help avoid COVID-19?
10749,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials,"it is possible to get COVID-19 by coming into contact with infected particles that can survive on surfaces for days or weeks. That led people to vigorously wipe down their light switches, scrub their groceries, and horde cleaning supplies.",Supports,16,touching a contaminated surface will not make you sick
1578,Lack of personal protective equipment was cited as a common cause of death.,Respiratory failure is a Common Cause of Death in Critically Ill Coronavirus Patients,Refutes,4,how do people die from the coronavirus?
10523,The most common coronaviruses may well survive or persist on surfaces for up to one month.,"It's a low risk to get covid-19 by groceries and packages that we have delivered, but it's possible that if someone is delivering a package to your house and they are sick, that may be a route for transmission.",Neutral,16,touching a contaminated surface will not make you sick
61,This paper investigates the COVID-19 virus origin by using artificial intelligence (AI) and raw genomic sequences of the virus.,the coronavirus hasn't been bioengineered,Neutral,1,what is the origin of COVID-19
10428,Frequent touching of contaminated surfaces in public areas is therefore a potential route of SARS-CoV-2 transmission.,The coronavirus that causes COVID-19 mainly spreads from person to person. ,Refutes,16,touching a contaminated surface will not make you sick
11928,"Cardiovascular complications were mainly observed in the confirmed COVID-19+group, consisting of heart failure (9%), palpitations/arrhythmias (3%), stroke/TIA (3%) and pulmonary hypertension (3%). Cardiovascular symptoms such as chest pain (1%), myocardial injury (1%) and pericardial effusion (1%) were also recorded.",COVID-19 symptoms can sometimes persist for months,Neutral,22,are heart complications likely in patients with COVID-19?
3042,Despite its small sample size our survey shows that hydroxychloroquine treatment is significantly associated with viral load reduction/disappearance in COVID-19 patients and its effect is reinforced by azithromycin.,hydroxychloroquine may limit spread of SARS-CoV-2 and morbidity and mortality of COVID-19 pandemic,Supports,28,does hydroxychloroquine treat COVID-19?
3991,"ecological investigation on 51 countries including 408,748 participants, analyses indicated no correlation between vitamin D levels and recovery rate (r= 0.041) as well as mortality rate (r=-0.073) globally.",Vitamin D reduces infection and impact of COVID-19,Refutes,42,Does Vitamin D impact COVID-19 prevention and treatment?
14095,"Thus, our goal is to test the most active antivirals identified in adequate animal models infected with SARS-CoV-2, to add more information about possible in vivo efficacy. In turn, successful antivirals could be tested in clinical trials as treatments for infected patients, but also as pre-exposure prophylaxis to avoid novel infections until an effective and safe vaccine is developed."," While most of the drug treatments (the FDA-approved drugs lopinavir-ritonavir, hydroxychloroquine sulfate, and emtricitabinetenofovir against SARS-CoV-2 infection) marginally reduced clinical symptoms, they did not reduce virus titers, with the exception of emtricitabine-tenofovir treatment, which led to diminished virus titers in nasal washes at 8 dpi. ",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
13866,"Several efforts are currently made to find a treatment for COVID-19 patients. So far, several anti-viral and immunosuppressive or immunomodulating drugs have demonstrated some efficacy on COVID-19 both in vitro and in animal models as well as in cases series. ","camostat mesylate inhibited infection of important target cells - human lung epithelial cells,",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
8118,"In this study, we demonstrated, using avian coronavirus of infectious bronchitis virus to mimic SARSCoV2, that medical masks and N95 masks remained their blocking efficacy after being steamed on boiling water even for 2 hours.",mask-wearing can lessen COVID-19 severity,Supports,82,Can face masks protect me from the coronavirus disease?
8239,It would therefore be reasonable to suggest that consistent widespread use of face masks in the community could prevent further spread of the Severe Acute Respiratory Syndrome-Coronavirus 2 (SARS-CoV-2).,"People wearing face coverings will take in fewer coronavirus particles, evidence suggests, making disease less severe.",Supports,82,Can face masks protect me from the coronavirus disease?
720,The current study focuses on the relationship between environmental parameters and the growth rate of COVID-19. The statistical analysis suggests that the temperature changes retarded the growth rate and found that -6.28C and +14.51C temperature is the favorable range for COVID-19 growth.,The virus survives better in cold,Supports,2,how does the coronavirus respond to changes in the weather
10068,"It is now accepted that the wild fauna, probably bats, constitute the initial reservoir of the virus, but little is known about the role pets can play in the spread of the disease in human communities, knowing the ability of SARS-CoV-2 to infect some domestic animals.","there is currently no evidence that animals, including pets, can be infected with the coronavirus, and no evidence that animals can spread the virus",Refutes,134,Can pets get the coronavirus disease?
8198,"Together, this study suggested that medical masks are adequate for use on most social occasions, and both medical masks and N95 masks can be reused for a few days with steam decontamination between use.","A more specialized mask, known as an N95 respirator, can protect against the new coronavirus, also called SARS-CoV-2.",Supports,82,Can face masks protect me from the coronavirus disease?
9035,"A multiple sclerosis patient infected by SARS-CoV-2 during fingolimod therapy was hospitalized with moderate clinical features, and recovered in 15 days.",recovered COVID-19 patients have protection for 3 months,Neutral,93,Are you immune to COVID-19 after recovering from it?
3182,"Temporal analyses of laboratory results revealed that compared to influenza, patients with COVID-19 exhibited a continued increase in the white blood cell count, rapid decline of hemoglobin, more rapid increase in blood urea nitrogen (BUN) and D-dimer, and higher level of alanine transaminase, C-reactive protein, ferritin, and fibrinogen.","Flu: Flu viruses can cause mild to severe illness, including common signs and symptoms listed above. COVID-19: Other signs and symptoms of COVID-19, different from flu, may include change in or loss of taste or smell.",Supports,31,How does the coronavirus differ from seasonal flu?
10522,The most common coronaviruses may well survive or persist on surfaces for up to one month.,there is no risk of being infected by groceries and packages that we have delivered,Neutral,16,touching a contaminated surface will not make you sick
12841,"In this study, we collected blood from COVID-19 patients who have recently become virus-free and therefore were discharged, and analyzed their SARS-CoV-2-specific antibody and T cell responses. We observed SARS-CoV-2-specific humoral and cellular immunity in the patients. Both were detected in newly discharged patients, suggesting both participate in immune-mediated protection to viral infection.",Can you boost your immune system to fight COVID-19? This is the question on everyone's mind as we face a worldwide crisis.,Neutral,3,will SARS-CoV2 infected people develop immunity?
10431,Frequent touching of contaminated surfaces in public areas is therefore a potential route of SARS-CoV-2 transmission.,The virus that causes coronavirus disease 2019 (COVID-19) is stable for several hours to days in aerosols and on surfaces,Neutral,16,touching a contaminated surface will not make you sick
6447,Cannabis thus joins tobacco as a SARS2-CoV-2 risk factor.,"As a smoker, you or the people who care about you may be worried about a connection between COVID-19 and smoking.",Supports,63,Can smoking help in preventing COVID-19?
5533,Wearing medical masks or N95 masks (namely N95 respirators) can slow the virus spread and reduce the infection risk., A face covering can prevent people who are asymptomatic carriers of Covid-19 from spreading the virus,Supports,53,Can wearing masks help in preventing the spread of the coronavirus disease?
9148,"There is evidence that SARS-CoV-2 can infect felines, dogs and minks, and there is evidence of human-to-animal infection.",Coronavirus: No proof yet that pets can get COVID-19 from owners,Refutes,95,Can animals spread COVID-19 to people?
11568," There is currently no vaccine for COVID-19, leaving governments and public health agencies with little defense against the virus aside from advising or enforcing best practices for virus transmission prevention, which include hand-washing, physical distancing, use of face covers, and use of effective disinfectants.",hand dryers are effective in killing the new covid-19,Neutral,19,what hand sanitizers kill COVID-19?
13490,"Based on animal experiments, already acquired data on other coronavirus types and plausibility assumptions, it can be assumed that seroconverted patients have an immunity of limited duration and only a very low risk of reinfection.",IL-17A helps trigger immune system response during early infection and INF-g combats replication of the virus. Higher levels of the two molecules may be associated with better outcomes in COVID-19 patients,Neutral,3,will SARS-CoV2 infected people develop immunity?
10101,"Therefore, there is a possibility of spreading SARS-CoV-2 through domestic pets. There are now many reports of SARS-CoV-2 positive cases in dogs, cats, tigers, lion, and minks.","Although there have not been reports of pets or other animals becoming sick with 2019-nCoV, several types of coronaviruses can cause illness in animals and spread between animals and people.",Refutes,135,Can coronaviruses spread from people to animals?
5852,Is drinking a healthy way of coping? No.,Excessive alcohol use can weaken the immune system,Supports,55,Can drinking alcohol help in preventing COVID-19?
312,Zhou et al (1) mentioned that 'Direct contact with intermediate host animals or consumption of wild animals was suspected to be the main route of SARSCoV2 transmission.,Coronavirus may have originated in bats or pangolins.,Supports,1,what is the origin of COVID-19
7357,"For NSAIDs, there is no clear scientific evidence linking ibuprofen and other NSAIDs to worsening of COVID-19; however, it seems prudent to continue them, if necessary to control pericarditis, and on the other hand, to prefer paracetamol for fever and systemic symptoms related to COVID-19.",animals develope fever as an evolutionary response to infection.,Refutes,69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
10369,"The contaminated surface environment in hospitals plays an important role in the transmission of several key nosocomial pathogens including methicillin-resistant Staphylococcus aureus, vancomycin-resistant Enterococcus spp., Clostridium difficile, Acinetobacter spp., and norovirus.",the virus could remain stable for long periods at 4 degrees C,Neutral,16,touching a contaminated surface will not make you sick
8542,Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals.,face masks can provide a temporary barrier against viruses,Supports,82,Can face masks protect me from the coronavirus disease?
11642,The present study has found that the use of ACE inh/ARBs therapy might be associated with an increased in-hospital mortality in patients who were diagnosed with Covid-19 pneumonia.,Blood Pressure Meds Can Affect COVID-19 Care,Neutral,20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) inhibitors at increased risk for COVID-19?
9108,ferrets and cats are highly susceptible to SARS-CoV-2 as infected by virus inoculation and can transmit the virus directly or indirectly by droplets or airborne routes.,"COVID-19 spreads less commonlythrough contact with contaminated surfaces, and rarely between people and animals.",Supports,95,Can animals spread COVID-19 to people?
9355,"Given the scope and speed of the spread, the COVID-19 pandemic is not only complex but dangerous.",Which is More Dangerous: Flu or COVID-19? Flu is more dangerous than covid-19,Refutes,105,How dangerous is COVID-19?
13427,"Based on animal experiments, already acquired data on other coronavirus types and plausibility assumptions, it can be assumed that seroconverted patients have an immunity of limited duration and only a very low risk of reinfection.","If you are immunocompromised, the best way to prevent COVID-19 is to avoid being exposed to this virus.",Neutral,3,will SARS-CoV2 infected people develop immunity?
608,"Being a novel pandemic coronavirus version, it might be ongoing during summer conditions associated with higher air temperatures, low relative humidity and precipitation levels.","Not only does COVID-19 spread by contact with contaminated surfaces, but new research finds that weather can influence how long the virus survives.",Refutes,2,how does the coronavirus respond to changes in the weather
8574,Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals.,Cloth Masks Protect You From Getting the Coronavirus,Refutes,82,Can face masks protect me from the coronavirus disease?
1909,The Greek authorities implemented the strong social distancing measures within the first few weeks after the first confirmed case of the virus to curtail the COVID-19 growth rate.,social distancing does help prevent coronavirus (COVID-19,Neutral,10,has social distancing had an impact on slowing the spread of COVID-19?
9184,"Although animal-to-animal transmission has been shown to be possible, there is no evidence of animal-to-human transmission.",there is no evidence that COVID-19 can spread to people from pet fur,Supports,95,Can animals spread COVID-19 to people?
3358,"A principal defence against uncontrolled inflammation, and against viral infection in general, is provided by T regulatory lymphocytes (Tregs). Treg levels have been reported to be low in many COVID-19 patients and can be increased by vitamin D supplementation. Low vitamin D levels have been associated with an increase in inflammatory cytokines and a significantly increased risk of pneumonia and viral upper respiratory tract infections. Vitamin D deficiency is associated with an increase in thrombotic episodes, which are frequently observed in COVID-19. Vitamin D deficiency has been found to occur more frequently in patients with obesity and diabetes. These conditions are reported to carry a higher mortality in COVID-19. If vitamin D does in fact reduce the severity of COVID-19 in regard to pneumonia/ARDS, inflammation, inflammatory cytokines and thrombosis, it is our opinion that supplements would offer a relatively easy option to decrease the impact of the pandemic.",Vitamin D strengthens innate immunity and prevents overactive immune responses,Neutral,42,Does Vitamin D impact COVID-19 prevention and treatment?
10496,"Most viruses from the respiratory tract, such as coronaviruses, influenza, SARS-CoV, or rhinovirus, can persist on surfaces for a few days.","Most respiratory diseases, including COVID-19, do not tend to last on surfaces",Refutes,16,touching a contaminated surface will not make you sick
9913,"Surgical mask partition for challenged index or nave hamsters significantly reduced transmission to 25% (6/24, P=0.018). Surgical mask partition for challenged index hamsters significantly reduced transmission to only 16.7% (2/12, P=0.019) of exposed nave hamsters.","COVID-19: Surgical masks may help, but not as first line",Supports,125,Does a surgical mask help avoid COVID-19?
2177,Our models predict these strict social distancing measures caused a 79% and 61% reduction in the daily cases of COVID-19 across Australia and New Zealand respectively. This provides both evidence and impetus for governments considering similar measures in response to COVID-19 and other pandemics.,The coronavirus disease 2019 (COVID-19) pandemic may be stressful for people. ,Neutral,10,has social distancing had an impact on slowing the spread of COVID-19?
9755,A number of COVIN-19 cases with conjunctivitis or conjunctivitis as the first symptom have been observed in our clinical work.,Most hospitalized COVID-19 patients have neurological symptoms,Neutral,119,Which are the first symptoms of the coronavirus disease?
931,"We show that the delay between exposure and detection of infection complicates the estimation of weather impact on COVID-19 transmission, potentially explaining significant variability in results to-date","Coronaviruses that cause less severe diseases, such as the common cold, do spread more slowly among people during the summer.",Neutral,2,how does the coronavirus respond to changes in the weather
8152,We also demonstrated that three brands of medical masks blocked over 99% viruses in aerosols. The avian coronavirus was completely inactivated after being steamed for 5 minutes.,face masks can provide a temporary barrier against viruses,Supports,82,Can face masks protect me from the coronavirus disease?
333,Zhou et al (1) mentioned that 'Direct contact with intermediate host animals or consumption of wild animals was suspected to be the main route of SARSCoV2 transmission.,The coronavirus was not engineered in a lab,Supports,1,what is the origin of COVID-19
6513, Data indicate CVIR demonstrates significant trends across cannabis use intensity quintiles and with relaxed cannabis legislation. Recent cannabis use is independently predictive of CVIR in bivariate and multivariable adjusted models and intensity of use is interactively significant. ,smokers less likely to catch COVID-19,Refutes,63,Can smoking help in preventing COVID-19?
9998,"In some circumstances, thermal inactivation at 56 C has been recommended to inactivate Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) before NAT.",Sunlight and Hot Temperatures Do Not Prevent the Coronavirus,Refutes,129,Does heat prevent COVID-19?
3703,A significant negative correlation (p=0.033) has been observed between mean vitamin D levels and COVID-19 cases per one million population in European countries.,Patients with sufficient levels of vitamin D are less likely to experience complications and die from COVID-19,Supports,42,Does Vitamin D impact COVID-19 prevention and treatment?
8560,Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals.,"Because the virus can be spread easily, many have resorted wearing face masks to protect themselves, as the virus is transmissible through human contact and exposure to respiratory droplets from an infected person.",Supports,82,Can face masks protect me from the coronavirus disease?
6065,32.2% (n=75) denounced the conspiracy theory,"5G uses higher frequencies than 4G, which are dangerous and caused covid-19",Refutes,56,Can 5G technology cause COVID-19?
786,"These results provide evidence for the relationship between several weather variables and the spread of COVID-19. However, the (conservatively) estimated relationships are not strong enough to seasonally control the epidemic in most locations.","Many diseases, such as the flu, are seasonal, with cases spiking when the weather is cool and dry.",Neutral,2,how does the coronavirus respond to changes in the weather
6544,Our findings support a causal effect of elevated BMI and smoking on risk of sepsis and severe covid-19.,"If you continue to smoke, you also have a greater risk for respiratory infections like colds, flu and also covid-19.",Supports,63,Can smoking help in preventing COVID-19?
13762,Knowledge of the molecular mechanisms of viral cycles and immunity is an important prerequisite for the development of vaccination strategies and development of effective drugs.,Coronavirus can harm your body even if you're asymptomatic,Neutral,3,will SARS-CoV2 infected people develop immunity?
77,This paper investigates the COVID-19 virus origin by using artificial intelligence (AI) and raw genomic sequences of the virus.,The coronavirus made by human in a laboratory,Neutral,1,what is the origin of COVID-19
6911,"Although a few pets presented many clinical signs indicative for a coronavirus infection, no animal tested positive for SARS-CoV-2 by RT-PCR and no antibodies against SARS-CoV-2 were detectable in their blood using an immunoprecipitation assay.",cats and dogs can get the coronavirus but are unlikely to get sick.,Refutes,67,Can animals spread COVID-19?
10130,"Currently, it is not possible to discuss the efficacy and safety of a drug in the treatment of COVID-19, as most studies have just begun.",People may take acetaminophen to ease the symptoms of cold and flu.,Neutral,141,"Are Tylenol, Advil and Motrin effective and safe to take for COVID-19 symptoms?"
5888,"Findings revealed that belief in 5G COVID-19 conspiracy theories was positively correlated with state anger, which in turn, was associated with a greater justification of real-life and hypothetical violence in response to an alleged link between 5G mobile technology and COVID-19, alongside a greater intent to engage in similar behaviours in the future.",Different variants of the theory exist. Some assume that not the coronavirus but 5G radiation is the real cause of COVID-19,Refutes,56,Can 5G technology cause COVID-19?
1643,Respiratory failure has been cited as the major cause of death,Some cancer treatments such as chemotherapy can weaken your immune system (cause you to be immunocompromised) and may increase your risk for severe illness from COVID-19.,Neutral,4,how do people die from the coronavirus?
10641,Nonfabric surface materials were found to be much more favorable in the indirect contact transmission for RSV and rhinovirus than fabric surface materials.,"it is possible to get COVID-19 by coming into contact with infected particles that can survive on surfaces for days or weeks. That led people to vigorously wipe down their light switches, scrub their groceries, and horde cleaning supplies.",Supports,16,touching a contaminated surface will not make you sick
6724,Experimental data showed ferrets and cats are highly susceptible to SARS-CoV-2 as infected by virus inoculation and can transmit the virus directly or indirectly by droplets or airborne route.,Humans can not infect other animals with the Covid-19 virus.,Refutes,67,Can animals spread COVID-19?
1888,Discussion: The combined social distancing measures implemented by the Greek authorities within the first few weeks after the first confirmed case of the virus reduced the COVID-19 growth rate.,Self-quarantine help to stop the spread of the virus,Supports,10,has social distancing had an impact on slowing the spread of COVID-19?
2443,social distancing is associated with a statistically-significant reduction in the doubling rate for all but three states.,"There is evidence that under certain conditions, people with COVID-19 seem to have infected others who were more than 6 feet away.",Supports,10,has social distancing had an impact on slowing the spread of COVID-19?
6024,a popular theory has linked 5G to the spread of COVID-19,5G has no causal connection to COVID-19,Refutes,56,Can 5G technology cause COVID-19?
12392,"Older age, diabetes and other comorbidities are reported as significant predictors of morbidity and mortality. Chronic inflammation, increased coagulation activity, immune response impairment, and potential direct pancreatic damage by SARS-CoV-2 might be among the underlying mechanisms of the association between diabetes and COVID-19.",People with type 1 diabetes are more likely to die of Covid-19 than those with type 2,Neutral,24,what kinds of complications related to COVID-19 are associated with diabetes
5595,A series of epidemiological explorations has suggested a negative association between national bacillus Calmette-Gurin (BCG) vaccination policy and the prevalence and mortality of coronavirus disease 2019 (COVID-19).,BCG vaccine may protect against COVID-19 infection,Refutes,54,can bcg vaccine cure covid-19
243,"Covid19 infection began in Wuhan (Hubei, China) in December, 2019.","Scientists now suspect this coronavirus, SARS-CoV-2, originated in a bat and somehow hopped to another animal, possibly the pangolin, which then passed it on to humans",Neutral,1,what is the origin of COVID-19
14038,"Thus, our goal is to test the most active antivirals identified in adequate animal models infected with SARS-CoV-2, to add more information about possible in vivo efficacy. In turn, successful antivirals could be tested in clinical trials as treatments for infected patients, but also as pre-exposure prophylaxis to avoid novel infections until an effective and safe vaccine is developed.","Hydroxychloroquine, on the other hand, completely lacks antiviral activity, thus providing no scientific basis for its further use in COVID-19 patients.",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
14023,"There is no therapeutic FDA-approved drug against SARS-CoV-2 infection, although a combination of anti-viral drugs is directly being practiced in some countries. ","As several FDA-approved or repurposed drugs are being tested as antiviral candidates at clinics without sufficient information, rapid preclinical animal studies should proceed to identify therapeutic drug candidates with strong antiviral potential and high safety prior to a human efficacy trial.",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
1447,Preliminary observations from our team and others suggest that temperature and climatological factors could influence the spread of this novel coronavirus,Cold weather kills coronavirus 2019 and 13 other COVID-19,Refutes,2,how does the coronavirus respond to changes in the weather
967,"We show that the delay between exposure and detection of infection complicates the estimation of weather impact on COVID-19 transmission, potentially explaining significant variability in results to-date",outbreaks of the new coronavirus will wane as winter turns to spring,Neutral,2,how does the coronavirus respond to changes in the weather
4382,"Model simulations, using data relevant to COVID-19 dynamics in the US states of New York and Washington, suggest that broad adoption of even relatively ineffective face masks may meaningfully reduce community transmission of COVID-19 and decrease peak hospitalizations and deaths.",masks can not slow the spread of coronavirus,Refutes,44,How much impact do masks have on preventing the spread of the COVID-19?
2716,the use of hydroxychloroquine alone was associated with increased mortality in COVID-19 patients.,hydroxychloroquine may limit spread of SARS-CoV-2 and morbidity and mortality of COVID-19 pandemic,Refutes,28,does hydroxychloroquine treat COVID-19?
7141,"As fever may have benefit in shortening the duration of viral illness, it is plausible to hypothesize that the antipyretic efficacy of ibuprofen may be hindering the benefits of a fever response when taken during the early stages of COVID-19 illness.","the use of ibuprofen and similar anti-inflammatory drugs could be ""an aggravating factor"" in COVID-19 infections",Refutes,69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
9046,Coronavirus disease-19 (COVID-19) caused by the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is now a pandemic threat. This virus is supposed to be spread by human to human transmission. ,Further studies are needed to understand if and how different animals could be affected by the virus and the role animals may play in the spread of COVID-19. ,Supports,95,Can animals spread COVID-19 to people?
12104,"Hypertension was associated with increased composite poor outcome, including mortality, severe COVID-19, ARDS, need for ICU care and disease progression in patients with COVID-19.","Having other cardiovascular or cerebrovascular disease, such as hypertension (high blood pressure) or stroke, may increase your risk of severe illness from COVID-19.",Supports,23,what kinds of complications related to COVID-19 are associated with hypertension?
3705,A significant negative correlation (p=0.033) has been observed between mean vitamin D levels and COVID-19 cases per one million population in European countries.,Taking vitamin D supplement can reduce the risk of becoming infected with COVID-19.,Supports,42,Does Vitamin D impact COVID-19 prevention and treatment?
411,"The COVID19, which appeared to originate in China in December 2019, has spread worldwide pandemically.",5G mobile networks do not cause or spread COVID-19.,Neutral,1,what is the origin of COVID-19
4269,"Depending on the region we analyse, we find that face masks reduced the cumulative number of registered Covid-19 cases between 2.3% and 13% over a period of 10 days after they became compulsory. Assessing the credibility of the various estimates, we conclude that face masks reduce the daily growth rate of reported infections by around 40%.","Masks include the ones that are made at home (typically cloth masks, made out of T-shirts and the like) as well as other non-medical and non-N95 masks are effective in limiting the spread of covid-19",Supports,44,How much impact do masks have on preventing the spread of the COVID-19?
8385,"2) addresses controversies surrounding the mask from perspectives of attitude, effectiveness, and necessity of wearing the mask with evidence that the use of mask would effectively interrupt the transmission of infectious diseases in both hospital settings and community settings;","Physical distancing, face masks, and eye protection to prevent person-to-person transmission of SARS-CoV-2 and COVID-19",Supports,82,Can face masks protect me from the coronavirus disease?
6045,"Content analysis revealed that, of 233 sample tweets, 34.8% (n=81) contained views that 5G and COVID-19 were linked",There is no scientific evidence that 5G towers are causing COVID-19 symptoms or that 5G radiation is making people more susceptible to SARS-CoV2 infections. ,Refutes,56,Can 5G technology cause COVID-19?
