id,claim,negated_claim,label_original,label_negated
VL000281,Melania Trump was the first First Lady to visit troops in a war zone.,Melania Trump was not the first First Lady to visit troops in a war zone.,false,true
VL000290,"From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have grown much faster.","From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have not grown much faster.",true,false
VL000291,Common antibiotic may help to prevent or treat PTSD,Common antibiotic may not help to prevent or treat PTSD.,false,true
VL000295,Georgia could be first state to test Trump health proposals.,Georgia could not be first state to test Trump health proposals.,true,false
VL000297,Senator McCain would pay for part of his (health care) plan by making drastic cuts in Medicare — $882-billion worth.,Senator McCain would not pay for part of his (health care) plan by making drastic cuts in Medicare — $882-billion worth.,false,true
VL000298,"Disney arranged to have himself frozen in cryonic chamber full of liquid nitrogen upon his death,","Disney arranged to have not himself frozen in cryonic chamber full of liquid nitrogen upon his death,.",false,true
VL000301,U.S. says science should settle farm debates in trade deal with EU.,U.S. says science should not settle farm debates in trade deal with EU.,true,false
VL000303,"Virginia is ""the number one state per capita in screening out people with mental illness from gun purchases.","Virginia is not ""the number one state per capita in screening out people with mental illness from gun purchases.",true,false
VL000304,"Climate is changing. Investing needs to, too, says BlackRock.","Climate is not changing. Investing needs to, too, says BlackRock.",true,false
VL000313,The seeds of certain common household plants can be used as an alternative to LSD.,The seeds of certain common household plants can not be used as an alternative to LSD.,false,true
VL000315,Photos and video clips narrated by a medical doctor demonstrate that Democratic presidential candidate Hillary Clinton likely has Parkinson's disease.,Photos and video clips narrated by a medical doctor demonstrate that Democratic presidential candidate Hillary Clinton likely has not Parkinson's disease.,false,true
VL000316,"Hair-grooming syncope"" is a real fainting disorder that can occur during acts of hair care.","Hair-grooming syncope"" is not a real fainting disorder that can occur during acts of hair care.",true,false
VL000317,Donald Trump Says Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,Donald Trump Says Joe Biden has not “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”.,false,true
VL000318,Study Shows Chest Pain From Heart Disease Can Be Treated With Stem Cell Therapy,Study Shows Chest Pain From Heart Disease Can not Be Treated With Stem Cell Therapy.,true,false
VL000322,"By spring 2020, the sun had entered a ""lockdown"" period where its solar activity decreased to the point that famine, earthquakes, and freezing weather threatened life on Earth.","By spring 2020, the sun had not entered a ""lockdown"" period where its solar activity decreased to the point that famine, earthquakes, and freezing weather threatened life on Earth.",false,true
VL000324,Officals say the flu is ‘prevalent’ in New York.,Officals say the flu is not ‘prevalent’ in New York.,true,false
VL000326,"Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are killed before they are born.","Today in America, between 40 and 50 percent of all African-American babies, virtually 1-in-2, are not killed before they are born.",false,true
VL000336,"Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP"" say that health reform ""makes sense to do.","Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP"" say that health reform ""makes sense to do not.",true,false
VL000346,"Coronavirus could kill 81,000 in U.S., subside in June - Washington University analysis.","Coronavirus could not kill 81,000 in U.S., subside in June - Washington University analysis.",true,false
VL000347,"Charles Krauthammer has penned a column under the headline, “The Enemy Among Us,” about President Obama’s use of a group called Organizing for  Action (OFA) to advance his political agenda after leaving the White House.","Charles Krauthammer has not penned a column under the headline, “The Enemy Among Us,” about President Obama’s use of a group called Organizing for Action (OFA) to advance his political agenda after leaving the White House.",false,true
VL000348,"EU should scrap emissions trading scheme, Polish official says.","EU should not scrap emissions trading scheme, Polish official says.",true,false
VL000350,These Houston residents dream of moving to where the air is clear.,These Houston residents dream of moving to where the air is not clear.,true,false
VL000352,"Joe Barton Says you can buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs ""$10 a pop.","Joe Barton Says you can not buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs ""$10 a pop.",false,true
VL000353,"Drug resistant superbugs are killing 33,000 in Europe each year.","Drug resistant superbugs are not killing 33,000 in Europe each year.",true,false
VL000357,"UK was too slow on coronavirus and 40,000 could die, professor says.","UK was not too slow on coronavirus and 40,000 could die, professor says.",true,false
VL000358,"Inner-city students ""fall back and don’t succeed, whereas if there was a less intensive track, they would.","Inner-city students ""fall back and don’t succeed, whereas if there was not a less intensive track, they would.",false,true
VL000360,Rep. Debbie Dingell is introducing a bill that would lead to widespread gun confiscations.,Rep. Debbie Dingell is not introducing a bill that would lead to widespread gun confiscations.,false,true
VL000370,The number of Britons drinking to harmful levels has fallen sharply.,The number of Britons drinking to harmful levels has not fallen sharply.,true,false
VL000372,"There were 3,700 drug-related deaths in England and Wales last year.","There were not 3,700 drug-related deaths in England and Wales last year.",true,false
VL000374,"Obamacare will provide coverage for abortions, despite the president’s commitment that it would not.","Obamacare will not provide coverage for abortions, despite the president’s commitment that it would not.",true,false
VL000378,"If voters are turned away from polls on election day, they can ask for a provisional ballot.","If voters are not turned away from polls on election day, they can ask for a provisional ballot.",true,false
VL000382,"Currently, half a million Floridians have Alzheimer’s disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness.","Currently, half a million Floridians have not Alzheimer’s disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness.",true,false
VL000385,Hallmark greeting cards are made in China.,Hallmark greeting cards are not made in China.,false,true
VL000389,"Of the 98 top oxycodone-dispensing doctors who used to live in Florida, ""today, there are none.","Of the 98 top oxycodone-dispensing doctors who used to live in Florida, ""today, there are not none.",true,false
VL000392,School water coolers may help kids lose weight,School water coolers may not help kids lose weight.,true,false
VL000395,North Korea is telling its people that their men’s national team is in the World Cup final.,North Korea is not telling its people that their men’s national team is in the World Cup final.,false,true
VL000396,"The Chinese are there"" in Syria.","The Chinese are not there"" in Syria.",false,true
VL000400,Botox may prevent irregular heartbeat after bypass surgery,Botox may not prevent irregular heartbeat after bypass surgery.,true,false
VL000402,A man using the screen name 'DreamWeaverGrey' is luring women to their deaths over the Internet.,A man using the screen name 'DreamWeaverGrey' is not luring women to their deaths over the Internet.,false,true
VL000403,"The National Cancer Institute has ""admitted"" that ""cannabis kills cancer.","The National Cancer Institute has not ""admitted"" that ""cannabis kills cancer.",false,true
VL000404,"Tim Canova Says Debbie Wasserman Schultz ""has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.","Tim Canova Says Debbie Wasserman Schultz ""has not voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.",true,false
VL000410,A new Facebook feature enabling users to report problems by shaking their phones has caused some users to be inadvertently reported for abuse and suspended.,A new Facebook feature enabling users to report problems by shaking their phones has not caused some users to be inadvertently reported for abuse and suspended.,false,true
VL000415,Apollo 11 moon landing had thousands working behind scenes.,Apollo 11 moon landing had not thousands working behind scenes.,true,false
VL000422,Dr. Anthony Fauci wrote in a 2005 paper published in Virology Journal that hydroxychloroquine was effective in treating SARS.,Dr. Anthony Fauci wrote in a 2005 paper published in Virology Journal that hydroxychloroquine was not effective in treating SARS.,false,true
VL000423,One in five people are drinking too much alcohol.,One in five people are not drinking too much alcohol.,true,false
VL000424,If you want out of the individual mandate... all you have to do now is tick off the box that says 'hardship' and you're out.,If you want out of the individual mandate... all you have not to do now is tick off the box that says 'hardship' and you're out.,false,true
VL000426,"Virginia Gov. Ralph Northam ""stated he would execute a baby after birth.","Virginia Gov. Ralph Northam ""stated he would not execute a baby after birth.",false,true
VL000427,"“The coronavirus is the common cold, folks.”","“The coronavirus is not the common cold, folks.”.",false,true
VL000429,"If someone is in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.","If someone is not in a room that has measles and leaves and you walk in two hours later, you could get measles from that person.",true,false
VL000433,Test can predict success of IVF: U.S. report.,Test can not predict success of IVF: U.S. report.,true,false
VL000434,Health department will get $11.3M for kids’ vaccine programs.,Health department will not get $11.3M for kids’ vaccine programs.,true,false
VL000435,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus.","U.S. President Barack Obama waited until millions were not infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus.",false,true
VL000436,“The coronavirus has made it to Mississippi and the lady that caught it wasn’t around nobody with it which means it is airborne. That means if the wind blows it your direction you’ll have it also.”,“The coronavirus has not made it to Mississippi and the lady that caught it wasn’t around nobody with it which means it is airborne. That means if the wind blows it your direction you’ll have it also.”.,false,true
VL000437,"In September 2020, former Vice President Joe Biden was unable to recite the Pledge of Allegiance, as demonstrated in a video.","In September 2020, former Vice President Joe Biden was not unable to recite the Pledge of Allegiance, as demonstrated in a video.",false,true
VL000440,Barack and Michelle Obama were forced to surrender their licenses to practice law because of their unethical behavior.,Barack and Michelle Obama were not forced to surrender their licenses to practice law because of their unethical behavior.,false,true
VL000441,Warren says getting to ‘Medicare for All’ will take 3 years.,Warren says getting to ‘Medicare for All’ will not take 3 years.,true,false
VL000443,"Louie Gohmert Says a Justice Department memo ""directs that you must openly embrace gay marriage and homosexuality.","Louie Gohmert Says a Justice Department memo ""directs that you must not openly embrace gay marriage and homosexuality.",false,true
VL000444,Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,Video shows President Donald Trump saying COVID-19 is not Democrats’ “new hoax.”.,false,true
VL000451,"Walt Disney was an illegitimate child, born out of wedlock to a woman from a town near Almeria in southern Spain and adopted by Flora and Elias Disney.","Walt Disney was not an illegitimate child, born out of wedlock to a woman from a town near Almeria in southern Spain and adopted by Flora and Elias Disney.",false,true
VL000454,"Joaquin Castro Says the director of an anti-abortion group receiving a Texas grant to provide women’s health services ""believes HIV can be spread through the sewer system.","Joaquin Castro Says the director of an anti-abortion group receiving a Texas grant to provide women’s health services ""believes HIV can not be spread through the sewer system.",true,false
VL000457,Italy suffers setback to hopes its coronavirus epidemic might be in retreat.,Italy suffers setback to hopes its coronavirus epidemic might not be in retreat.,true,false
VL000458,"Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.","Rick Scott ""was not forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.",true,false
VL000459,Insulin can be purchased at Walmart for $25 a vial.,Insulin can not be purchased at Walmart for $25 a vial.,true,false
VL000463,Blocking “rogue gene” may stop cancer spread: study,Blocking “rogue gene” may not stop cancer spread: study.,false,true
VL000465,"George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out.","George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was not developed and conveniently Broke Out.",false,true
VL000469,Several major brands of lipstick contain dangerous levels of cancer-causing lead which can be detected with a gold ring.,Several major brands of lipstick contain dangerous levels of cancer-causing lead which can not be detected with a gold ring.,false,true
VL000471,"In 2009's H1N1 (swine flu) pandemic, 1.4 billion people were sickened globally, and nearly 600,000 died.","In 2009's H1N1 (swine flu) pandemic, 1.4 billion people were not sickened globally, and nearly 600,000 died.",false,true
VL000473,The Healthy Skeptic: Probiotics could help in cold and flu season,The Healthy Skeptic: Probiotics could not help in cold and flu season.,true,false
VL000475,"A viral image shows Tamla Horsford, the only black woman at an all-white adult sleepover, hours before she was found dead in a yard under contested circumstances.","A viral image shows Tamla Horsford, the only black woman at an all-white adult sleepover, hours before she was not found dead in a yard under contested circumstances.",true,false
VL000483,An adopted dog's former owner turned out to be a soldier who was killed in Iraq.,An adopted dog's former owner turned out to be a soldier who was not killed in Iraq.,false,true
VL000485,Many U.S. kids have chronic health problems: study.,Many U.S. kids have not chronic health problems: study.,true,false
VL000487,"One of the Planned Parenthood videos shows ""a fully formed fetus on the table, its heart beating, its legs kicking, while someone says, 'We have to keep it alive to harvest its brain.'","One of the Planned Parenthood videos shows ""a fully formed fetus on the table, its heart beating, its legs kicking, while someone says, 'We have not to keep it alive to harvest its brain.'.",false,true
VL000491,"The government are putting £34 billion into the NHS, the biggest ever cash injection.","The government are not putting £34 billion into the NHS, the biggest ever cash injection.",true,false
VL000497,Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austin’s streets.,Bike lanes and sidewalks have not been proven to reduce crashes by up to 38 percent on Austin’s streets.,false,true
VL000499,"Donald Trump Says Cory Booker has accepted over $400,000 from the pharmaceutical industry during his political career.","Donald Trump Says Cory Booker has not accepted over $400,000 from the pharmaceutical industry during his political career.",true,false
VL000500,The sap of the giant hogweed plant can cause severe skin and eye irritation.,The sap of the giant hogweed plant can not cause severe skin and eye irritation.,true,false
VL000501,“We have one of the lowest mortality rates in the world” from COVID-19.,“We have not one of the lowest mortality rates in the world” from COVID-19.,false,true
VL000502,Evolution Fresh brand cold-pressed juices and smoothies are 'poison.',Evolution Fresh brand cold-pressed juices and smoothies are not 'poison.'.,false,true
VL000506,A woman in South Korea was impregnated via mouth after eating a squid.,A woman in South Korea was not impregnated via mouth after eating a squid.,false,true
